Unnamed: 0,prdtypecode,prdtypecode_encoded,libelle_type_code
0,10,0,Livres loisirs et société
1,2280,18,Magasine
2,50,2,Accessoires gaming
3,1280,7,Jouets & Enfant
4,2705,25,Livres littérature et fiction
5,2280,18,Magasine
6,10,0,Livres loisirs et société
7,2522,21,Fournitures Papeterie
8,1280,7,Jouets & Enfant
9,2582,22,Mobilier de jardin
10,1560,13,Maison
11,1560,13,Maison
12,1281,8,Jeux de société
13,1920,14,Linge de maison
14,1560,13,Maison
15,2522,21,Fournitures Papeterie
16,2403,19,Lots Livres / Magasines & Manga & BD
17,2522,21,Fournitures Papeterie
18,1140,4,Figurines & univers geek
19,2280,18,Magasine
20,2583,23,Équipement piscine & spa
21,1280,7,Jouets & Enfant
22,1180,6,Jeux de figurines & wargames
23,1140,4,Figurines & univers geek
24,1300,9,Véhicules RC & miniatures
25,2462,20,Lots consoles & jeux
26,1280,7,Jouets & Enfant
27,2522,21,Fournitures Papeterie
28,2280,18,Magasine
29,1160,5,Cartes à collectionner
30,2060,16,Décoration
31,40,1,Jeux vidéo et accessoires
32,1560,13,Maison
33,2522,21,Fournitures Papeterie
34,40,1,Jeux vidéo et accessoires
35,2060,16,Décoration
36,2060,16,Décoration
37,1281,8,Jeux de société
38,1920,14,Linge de maison
39,2583,23,Équipement piscine & spa
40,60,3,Consoles rétro
41,1180,6,Jeux de figurines & wargames
42,2522,21,Fournitures Papeterie
43,1281,8,Jeux de société
44,2280,18,Magasine
45,1920,14,Linge de maison
46,10,0,Livres loisirs et société
47,40,1,Jeux vidéo et accessoires
48,1160,5,Cartes à collectionner
49,1280,7,Jouets & Enfant
50,40,1,Jeux vidéo et accessoires
51,2403,19,Lots Livres / Magasines & Manga & BD
52,1281,8,Jeux de société
53,2583,23,Équipement piscine & spa
54,2403,19,Lots Livres / Magasines & Manga & BD
55,1280,7,Jouets & Enfant
56,2705,25,Livres littérature et fiction
57,2403,19,Lots Livres / Magasines & Manga & BD
58,2583,23,Équipement piscine & spa
59,1300,9,Véhicules RC & miniatures
60,1280,7,Jouets & Enfant
61,2403,19,Lots Livres / Magasines & Manga & BD
62,1320,12,Puériculture
63,1300,9,Véhicules RC & miniatures
64,2583,23,Équipement piscine & spa
65,2583,23,Équipement piscine & spa
66,1140,4,Figurines & univers geek
67,2060,16,Décoration
68,2280,18,Magasine
69,2403,19,Lots Livres / Magasines & Manga & BD
70,2583,23,Équipement piscine & spa
